"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы списка документа ""Задание торговому представителю"" (ЗаданиеТорговомуПредставителю)","1","0","Открытие формы списка документа ""Задание торговому представителю"" (ЗаданиеТорговомуПредставителю)","0"
"0","","0","Копирование элемента справочника ""Организации"" (Организации)","1","0","Копирование элемента справочника ""Организации"" (Организации)","0"
"0","","0","Открытие формы списка регистра сведений ""Пакетный Обмен для CMS 1С-Битрикс"" (Б_ПакетныйОбмен)","1","0","Открытие формы списка регистра сведений ""Пакетный Обмен для CMS 1С-Битрикс"" (Б_ПакетныйОбмен)","0"
"0","","0","Открытие формы обработки ""Обращение в техническую поддержку фирмы ""1С"""" (ПомощникОбращенияВТехническуюПоддержку)","1","0","Открытие формы обработки ""Обращение в техническую поддержку фирмы ""1С"""" (ПомощникОбращенияВТехническуюПоддержку)","0"
"0","","0","Открытие формы списка регистра сведений ""Пользовательские макеты печати"" (ПользовательскиеМакетыПечати)","1","0","Открытие формы списка регистра сведений ""Пользовательские макеты печати"" (ПользовательскиеМакетыПечати)","0"
"0","","0","Открытие формы регистра сведений ""Связи между физическими лицами"" (СвязиМеждуФизЛицами)","1","0","Открытие формы регистра сведений ""Связи между физическими лицами"" (СвязиМеждуФизЛицами)","0"
"0","","0","Открытие формы документа ""Приказ о праве подписи в отгрузочных документах"" (ПриказОПравеПодписиВОтгрузочныхДокументах)","1","0","Открытие формы документа ""Приказ о праве подписи в отгрузочных документах"" (ПриказОПравеПодписиВОтгрузочныхДокументах)","0"
"0","","0","Открытие формы регистра сведений ""Предприятия зон ответственности пользователей ВетИС"" (ПредприятияЗонОтветственностиВЕТИС)","1","0","Открытие формы регистра сведений ""Предприятия зон ответственности пользователей ВетИС"" (ПредприятияЗонОтветственностиВЕТИС)","0"
"0","","0","Открытие формы обработки ""Регистрация объектов в журнале документов"" (CRM_РегистрацияОбъектовВУниверсальномЖурналеДокументов)","1","0","Открытие формы обработки ""Регистрация объектов в журнале документов"" (CRM_РегистрацияОбъектовВУниверсальномЖурналеДокументов)","0"
"0","","0","Копирование элемента справочника ""Ключи аналитики учета партий"" (КлючиАналитикиУчетаПартий)","1","0","Копирование элемента справочника ""Ключи аналитики учета партий"" (КлючиАналитикиУчетаПартий)","0"
"0","","0","Открытие формы справочника ""Настройки ретробонусов (поставщиков)"" (НастройкиРетробонусов)","1","0","Открытие формы справочника ""Настройки ретробонусов (поставщиков)"" (НастройкиРетробонусов)","0"
"0","","0","Копирование элемента справочника ""Воронки продаж"" (CRM_ВоронкиПродаж)","1","0","Копирование элемента справочника ""Воронки продаж"" (CRM_ВоронкиПродаж)","0"
"0","","0","Открытие формы справочника ""Показатели сегментирования"" (ПоказателиСегментирования)","1","0","Открытие формы справочника ""Показатели сегментирования"" (ПоказателиСегментирования)","0"
"0","","0","Открытие формы списка справочника ""Источники данных планирования"" (ИсточникиДанныхПланирования)","1","0","Открытие формы списка справочника ""Источники данных планирования"" (ИсточникиДанныхПланирования)","0"
"0","","0","Открытие формы справочника ""Структуры штрихкодов"" (СтруктурыШК)","1","0","Открытие формы справочника ""Структуры штрихкодов"" (СтруктурыШК)","0"
