"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1226","Открытие формы списка документа ""План закупок"" (ПланЗакупок)","","Wed Apr 23 12:41:33 MSK 2025","passed","Wed Apr 23 12:41:34 MSK 2025","","","",""
"","1111","Открытие формы отчета ""XYZ Классификация поставщиков"" (XYZКлассификацияПоставщиков)","","Wed Apr 23 13:14:20 MSK 2025","passed","Wed Apr 23 13:14:21 MSK 2025","","","",""
"","1211","Открытие формы списка документа ""Реализация услуг и прочих активов"" (РеализацияУслугПрочихАктивов)","","Wed Apr 23 12:42:10 MSK 2025","passed","Wed Apr 23 12:42:11 MSK 2025","","","",""
"","2309","Копирование элемента группы справочника ""Показания к применению"" (ПоказанияКПрименению)","","Wed Apr 23 12:31:25 MSK 2025","passed","Wed Apr 23 12:31:28 MSK 2025","","","",""
"","2273","Копирование элемента группы справочника ""Графики работы"" (Календари)","","Wed Apr 23 12:15:08 MSK 2025","passed","Wed Apr 23 12:15:11 MSK 2025","","","",""
"","951","Открытие формы регистра сведений ""История изменения реквизитов организации"" (ИсторияИзмененияРеквизитовОрганизации)","","Wed Apr 23 13:48:31 MSK 2025","passed","Wed Apr 23 13:48:32 MSK 2025","","","",""
"","1143","Открытие формы списка документа ""Корректировки ГСМ и километража ТС"" (апрКорректировкаГСМиКМ)","","Wed Apr 23 12:39:34 MSK 2025","passed","Wed Apr 23 12:39:36 MSK 2025","","","",""
"","977","Открытие формы списка регистра сведений ""Правила для обмена данными"" (ПравилаДляОбменаДанными)","","Wed Apr 23 13:44:36 MSK 2025","passed","Wed Apr 23 13:44:37 MSK 2025","","","",""
"","1201","Открытие формы списка справочника ""Причины проигрыша сделок"" (ПричиныПроигрышаСделок)","","Wed Apr 23 12:04:42 MSK 2025","passed","Wed Apr 23 12:04:43 MSK 2025","","","",""
"","1751","Открытие формы списка справочника ""Складские ячейки"" (СкладскиеЯчейки)","","Wed Apr 23 12:05:14 MSK 2025","passed","Wed Apr 23 12:05:16 MSK 2025","","","",""
"","1036","Открытие формы отчета ""Изменение ABC/XYZ - распределения клиентов"" (ИзменениеABCXYZРаспределенияКлиентов)","","Wed Apr 23 13:36:11 MSK 2025","passed","Wed Apr 23 13:36:12 MSK 2025","","","",""
"","1180","Открытие формы списка документа ""Поручение экспедитору"" (ПоручениеЭкспедитору)","","Wed Apr 23 12:41:40 MSK 2025","passed","Wed Apr 23 12:41:41 MSK 2025","","","",""
"","936","Открытие формы обработки ""Загрузка отчета банка по эквайрингу"" (ЗагрузкаОтчетаБанкаПоЭквайрингу)","","Wed Apr 23 13:40:40 MSK 2025","passed","Wed Apr 23 13:40:41 MSK 2025","","","",""
"","2639","Копирование элемента справочника ""Настройки продаж"" (НастройкиПродажДляПользователей)","","Wed Apr 23 12:17:39 MSK 2025","passed","Wed Apr 23 12:17:42 MSK 2025","","","",""
"","2969","Копирование элемента справочника ""Претензии клиентов"" (ПретензииКлиентов)","","Wed Apr 23 12:20:03 MSK 2025","passed","Wed Apr 23 12:20:06 MSK 2025","","","",""
